书名,作者,译者,出版社,出版时间,价格,评分,评论人数,简介
达·芬奇密码,[美] 丹·布朗,朱振武、吴晟、周元晓,上海人民出版社,2004-2,28.00元,8.2,191566,哈佛大学的符号学专家罗伯特·兰登在法国巴黎出差期间的一个午夜接到一个紧急电话，得知卢浮宫博物馆年迈的馆长被人杀害在卢浮宫的博物馆里，人们在他的尸体旁边发现了...
飘,[美国] 玛格丽特·米切尔,李美华,译林出版社,2000-9,40.00元,9.3,130175,小说中的故事发生在1861年美国南北战争前夕。生活在南方的少女郝思嘉从小深受南方文化传统的熏陶，可在她的血液里却流淌着野性的叛逆因素。随着战火的蔓廷和生活环...
狼图腾,姜戎,,长江文艺出版社,2004-4,32.00元,8.2,132714,《狼图腾》由几十个有机连贯的“狼故事”组成，情节紧张激烈而又新奇神秘。读者可从书中每一篇章、每个细节中攫取强烈的阅读快感，令人欲罢不能。那些精灵一般的蒙古草...
无声告白,[美] 伍绮诗,孙璐,江苏凤凰文艺出版社,2015-7,35.00元,8.2,99144,我们终此一生，就是要摆脱他人的期待，找到真正的自己。——————————莉迪亚死了，可他们还不知道。莉迪亚是家中老二，李先生和李太太的掌上明珠，她遗传...
白鹿原,陈忠实,,人民文学出版社,1997-12,28.00元,8.7,91307,这是一部渭河平原五十年变迁的雄奇史诗，一轴中国农村班斓多彩、触目惊心的长幅画卷。主人公六娶六丧，神秘的序曲预示着不祥。一个家族两代子孙，为争夺白鹿原的统治代...
三国演义（全二册）,[明] 罗贯中,,人民文学出版社,1998-05,39.50元,9.2,98772,《三国演义》又名《三国志演义》、《三国志通俗演义》，是我国小说史上最著名最杰出的长篇章回体历史小说。 《三国演义》的作者是元末明初人罗贯中，由毛纶，毛宗岗父...
长安十二时辰 上,马伯庸,,湖南文艺出版社,2017-1-1,CNY 79.60,8.4,33833,唐天宝三年，元月十四日，长安。大唐皇都的居民不知道，上元节辉煌灯火亮起之时，等待他们的，将是场吞噬一切的劫难。突厥、狼卫、绑架、暗杀、烈焰、焚城，毁灭长...
解忧杂货店,[日] 东野圭吾,李盈春,南海出版公司,2014-5,39.50元,8.5,543936,现代人内心流失的东西，这家杂货店能帮你找回——僻静的街道旁有一家杂货店，只要写下烦恼投进卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答。因男友身患绝...
活着,余华,,作家出版社,2012-8-1,20.00元,9.4,346417,《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵...
追风筝的人,[美] 卡勒德·胡赛尼,李继宏,上海人民出版社,2006-5,29.00元,8.9,547193,12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟...
白夜行,[日] 东野圭吾,刘姿君,南海出版公司,2008-9,29.80元,9.1,406166,“只希望能手牵手在太阳下散步”，这个象征故事内核的绝望念想，有如一个美丽的幌子，随着无数凌乱、压抑、悲凉的故事片段像纪录片一样一一还原：没有痴痴相思，没有海...
嫌疑人X的献身,[日] 东野圭吾,刘子倩,南海出版公司,2008-9,28.00,8.9,338473,百年一遇的数学天才石神，每天唯一的乐趣，便是去固定的便当店买午餐，只为看一眼在便当店做事的邻居靖子。靖子与女儿相依为命，失手杀了前来纠缠的前夫。石神提出由...
三体,刘慈欣,,重庆出版社,2008-1,23.00,8.8,324597,文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的...
平凡的世界（全三部）,路遥,,人民文学出版社,2005-1,64.00元,9.0,205556,《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广...
围城,钱锺书,,人民文学出版社,1991-2,19.00,8.9,319119,《围城》是钱钟书所著的长篇小说。第一版于1947年由上海晨光出版公司出版。1949年之后，由于政治等方面的原因，本书长期无法在中国大陆和台湾重印，仅在香港出...
红楼梦,[清] 曹雪芹 著、高鹗 续,,人民文学出版社,1996-12,59.70元,9.6,230884,《红楼梦》是一部百科全书式的长篇小说。以宝黛爱情悲剧为主线，以四大家族的荣辱兴衰为背景，描绘出18世纪中国封建社会的方方面面，以及封建专制下新兴资本主义民主...
小王子,[法] 圣埃克苏佩里,马振聘,人民文学出版社,2003-8,22.00元,9.0,468762,小王子是一个超凡脱俗的仙童，他住在一颗只比他大一丁点儿的小行星上。陪伴他的是一朵他非常喜爱的小玫瑰花。但玫瑰花的虚荣心伤害了小王子对她的感情。小王子告别小行...
骆驼祥子,老舍,,人民文学出版社,2000-3-1,12.00,8.4,116490,《骆驼祥子》是老舍用同情的笔触描绘的一幕悲剧：二十年代的北京，一个勤劳、壮实的底层社会小人物怀着发家、奋斗的美好梦想，却最终为黑暗的暴风雨所吞噬。它揭示了当...
许三观卖血记,余华,,南海出版公司,1998-9,16.80元,8.7,153494,《许三观卖血记》是余华1995年创作的一部长篇小说，它以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述了许三观靠着卖...
月亮与六便士,[英] 威廉·萨默塞特·毛姆,徐淳刚,浙江文艺出版社,2017-1-1,39.80元,8.8,105624,“满地都是六便士，他却抬头看见了月亮。”银行家查尔斯，人到中年，事业有成，为了追求内心隐秘的绘画梦想，突然抛妻别子，弃家出走。他深知：人的每一种身份都是一...
百年孤独,[哥伦比亚] 加西亚·马尔克斯,范晔,南海出版公司,2011-6,39.50元,9.2,237195,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。...
房思琪的初恋乐园,林奕含,,北京联合出版公司,2018-1,45.00元,9.2,116355,令人心碎却无能为力的真实故事。向死而生的文学绝唱  打动万千读者的年度华语小说。李银河 戴锦华 骆以军 张悦然 冯唐 詹宏志 蒋方舟 史航 等多位学者作...
鲁滨逊漂流记,[英] 笛福,马静,广西民族出版社,2002-1,9.20元,8.1,127651,《鲁滨逊飘流记》是18世纪英国作家达尼尔·笛福的代表作品，也是一部具有广泛的世界性影响的作品。小说以1704年一名苏格兰水手亚历山大·薛里基洛克航海遇险，...
人间失格,太宰治,许时嘉,吉林出版集团有限责任公司,2009-9,16.00元,8.3,153116,第一次，我喝酒喝得如此失态。悠悠醒来时，枕头边坐着常子。我躺在那位于本所工匠店二楼的房间里。“财尽情亦绝，你说这句话时我还以为是开玩笑，你是认真的？难怪...
盗墓笔记,南派三叔,,中国友谊出版公司,2007-1,26.80元,8.3,140546,五十年前，一群长沙土夫子（盗墓贼）挖到一部战国帛书，残篇中记载了一座奇特的战国古墓的位置，但那群土夫子在地下碰上了诡异事件，几乎全部身亡。五十年后，其中一...
边城,沈从文、黄永玉 卓雅 插图.,,北岳文艺出版社,2002-4,12.00元,8.6,147972,《边城》是沈从文的代表作，写于一九三三年至一九三四年初。这篇作品如沈从文的其他湘西作品，着眼于普通人、善良人的命运变迁，描摹了湘女翠翠阴差阳错的生活悲剧，诚...
挪威的森林,[日] 村上春树,林少华,上海译文出版社,2001-2,18.80元,8.0,291251,这是一部动人心弦的、平缓舒雅的、略带感伤的恋爱小说。小说主人公渡边以第一人称展开他同两个女孩间的爱情纠葛。渡边的第一个恋人直子原是他高中要好同学木月的女友，...
